section,key,fund,value,detail
set_total,2026-03-25,ACH,3609064.78,stated=3609064.78;status=reconciled;lines=1101;checks=241;hash_total=2229876806055
set_total,2026-03-25,ASB,136796.65,stated=136796.65;status=reconciled;lines=224;checks=66;hash_total=55609093987
set_total,2026-03-25,Capital,84009.42,stated=84009.42;status=reconciled;lines=40;checks=29;hash_total=37053221566
set_total,2026-03-25,GF,5609073.26,stated=5609073.26;status=reconciled;lines=1533;checks=384;hash_total=55795052438
register_crosscheck,2026-03-25,ACH,0.00,basis=ap_direct_deposit;register=3609064.78;listing=3609064.78;reason=MATCH
register_crosscheck,2026-03-25,ASB,-581.50,basis=warrants_plus_pcard;register=137378.15;listing=136796.65;reason=REGISTER_MISMATCH
register_crosscheck,2026-03-25,Capital,0.00,basis=warrants_plus_pcard;register=84009.42;listing=84009.42;reason=MATCH
register_crosscheck,2026-03-25,GF,537.94,basis=warrants_plus_pcard;register=5608535.32;listing=5609073.26;reason=REGISTER_MISMATCH
top_vendor,Puget Sound Energy,,1550420.27,lines=11;checks=2;all_reconciled=True
top_vendor,Sunburst Workforce Advisors LLC,,722422.23,lines=13;checks=3;all_reconciled=True
top_vendor,ATS Automation Inc,,648526.07,lines=11;checks=3;all_reconciled=True
top_vendor,US Foods - Seattle,,402504.45,lines=20;checks=6;all_reconciled=True
top_vendor,Bank Of America,,368885.15,lines=1054;checks=16;all_reconciled=True
top_vendor,Everdriven Technologies LLC,,315551.31,lines=15;checks=5;all_reconciled=True
top_vendor,GenCap Construction Corp,,302798.81,lines=1;checks=1;all_reconciled=True
top_vendor,KEA,,254869.59,lines=1;checks=1;all_reconciled=True
top_vendor,City of Kent,,241941.53,lines=9;checks=7;all_reconciled=True
top_vendor,First Student Inc,,241773.05,lines=3;checks=1;all_reconciled=True
top_vendor,FEDERAL WAY PUBLIC SCHOOLS,,237552.11,lines=1;checks=1;all_reconciled=True
top_vendor,Highline SD,,144995.30,lines=2;checks=2;all_reconciled=True
top_vendor,KCABA,,144656.25,lines=9;checks=2;all_reconciled=True
top_vendor,Comm in Schs of Kent,,127660.30,lines=4;checks=3;all_reconciled=True
top_vendor,Republic Svcs-#176/183,,127028.09,lines=2;checks=2;all_reconciled=True
top_vendor,AMAZON CAPITAL SERVICES,,123788.09,lines=564;checks=5;all_reconciled=True
top_vendor,PetroCard Inc,,120315.49,lines=7;checks=3;all_reconciled=True
top_vendor,KCDA,,114213.72,lines=76;checks=5;all_reconciled=True
top_vendor,Blazerworks LLC,,105425.90,lines=17;checks=5;all_reconciled=True
top_vendor,Univ Instructors LLC,,101136.75,lines=3;checks=3;all_reconciled=True
top_vendor,Renton SD,,92105.18,lines=8;checks=1;all_reconciled=True
top_vendor,GERSH ACADEMY SEATTLE LLC,,90329.66,lines=4;checks=1;all_reconciled=True
top_vendor,Childrens Inst for Lrning Diff,,89819.50,lines=15;checks=1;all_reconciled=True
top_vendor,Empt Security Dept,,86692.40,lines=1;checks=1;all_reconciled=True
top_vendor,HEARTSPRING INC,,82517.85,lines=2;checks=1;all_reconciled=True
watch_list,Sunburst Workforce Advisors,,907564.31,2025-03-26
watch_list,Sunburst Workforce Advisors,,610158.65,2025-04-23
watch_list,Sunburst Workforce Advisors,,584420.74,2025-05-28
watch_list,Sunburst Workforce Advisors,,392944.59,2025-06-25
watch_list,Sunburst Workforce Advisors,,1249322.98,2025-07-23
watch_list,Sunburst Workforce Advisors,,278180.58,2025-08-13
watch_list,Sunburst Workforce Advisors,,26191.50,2025-09-24
watch_list,Sunburst Workforce Advisors,,35486.75,2025-10-22
watch_list,Sunburst Workforce Advisors,,1012574.33,2025-12-10
watch_list,Sunburst Workforce Advisors,,398849.69,2026-01-14
watch_list,Sunburst Workforce Advisors,,970495.51,2026-02-11
watch_list,Sunburst Workforce Advisors,,722422.23,2026-03-25
watch_list,Elevation Healthcare,,93534.75,2025-03-26
watch_list,Elevation Healthcare,,24854.25,2025-04-23
watch_list,Elevation Healthcare,,53335.50,2025-05-28
watch_list,Elevation Healthcare,,37816.13,2025-07-23
watch_list,Elevation Healthcare,,45525.32,2025-09-24
watch_list,Elevation Healthcare,,38181.33,2025-12-10
watch_list,Elevation Healthcare,,48085.50,2026-01-14
watch_list,Elevation Healthcare,,197885.38,2026-02-11
watch_list,Blazerworks,,18770.00,2025-03-26
watch_list,Blazerworks,,41483.75,2025-04-23
watch_list,Blazerworks,,28680.00,2025-05-28
watch_list,Blazerworks,,46870.00,2025-06-25
watch_list,Blazerworks,,24565.00,2025-07-23
watch_list,Blazerworks,,3386.25,2025-08-13
watch_list,Blazerworks,,153034.27,2025-09-24
watch_list,Blazerworks,,60884.50,2025-12-10
watch_list,Blazerworks,,155824.22,2026-01-14
watch_list,Blazerworks,,61566.30,2026-02-11
watch_list,Blazerworks,,105425.90,2026-03-25
watch_list,CBPI,,8817.00,2025-03-26
watch_list,CBPI,,7335.70,2025-04-23
watch_list,CBPI,,11095.40,2025-05-28
watch_list,CBPI,,9467.10,2025-06-25
watch_list,CBPI,,11555.60,2025-07-23
